Word,CNC_M
jewellery,6.943
bridge,6.938
volcano,6.931
giraffe,6.912
carrot,6.909
gorilla,6.906
wolf,6.897
elephant,6.891
hippopotamus,6.886
hospital,6.886
bone,6.882
bus,6.882
headphones,6.882
leg,6.882
peanut,6.882
skirt,6.879
horse,6.875
jeans,6.871
tarantula,6.867
goat,6.862
mountain,6.862
spoon,6.862
tree,6.862
car,6.857
cow,6.853
ear,6.853
earphones,6.853
dryer,6.853
kitchen_appliance,6.853
porpoise,6.849
rhinoceros,6.849
pig,6.846
bee,6.844
coffin,6.844
loaf,6.844
dog,6.833
kangaroo,6.833
cake,6.829
iceberg,6.829
toilet,6.829
bread,6.828
ferret,6.828
shirt,6.828
apple,6.824
chipmunk,6.824
tomato,6.824
flashlight,6.824
bicycle,6.818
pineapple,6.818
chimpanzee,6.815
domestic_ass,6.813
building,6.813
diamond,6.813
lorry,6.813
sheep,6.808
camel,6.807
zebra,6.807
bridge,6.8
crab,6.8
crocodile,6.8
koala,6.8
lion,6.8
mattress,6.8
nose,6.8
robin,6.8
skull,6.8
toe,6.8
longbow,6.794
hamster,6.794
chick,6.794
maggot,6.794
milk,6.794
mug,6.794
notepad,6.794
otter,6.794
pint,6.794
potato,6.794
trumpet,6.794
muskrat,6.793
book,6.793
octopod,6.793
caterpillar,6.788
duck,6.788
mouse,6.788
pumpkin,6.788
tank,6.788
lip,6.786
onion,6.786
slug,6.786
tortoise,6.786
lightbulb,6.781
frog,6.778
racquet,6.774
ambulance,6.771
plaster_cast,6.771
fork,6.771
fridge,6.771
harp,6.771
lobster,6.771
rhino,6.771
stethoscope,6.767
apple,6.765
cottage,6.765
daffodil,6.765
diamond,6.765
eye,6.765
glasses,6.765
harmonica,6.765
kitten,6.765
panther,6.765
ship,6.765
shoe,6.765
toothbrush,6.765
wheelbarrow,6.765
shark,6.762
blueberry,6.758
Coca_Cola,6.758
couch,6.758
hat,6.758
motorbike,6.758
storage_tank,6.758
elbow,6.75
keyboard,6.75
logs,6.75
muffin,6.75
padlock,6.75
pasta,6.75
arms,6.743
bean,6.743
bracelet,6.743
cacti,6.743
hippo,6.743
jacket,6.743
kilt,6.743
lettuce,6.743
oven,6.743
shotgun,6.743
stapler,6.743
kitchen_table,6.743
window,6.743
anteater,6.742
lemon,6.742
magazine,6.742
tram,6.742
foxes,6.741
cigarette,6.739
bus,6.735
foot,6.735
peach,6.735
rice,6.735
scissors,6.735
squash,6.735
suitcase,6.735
ankle,6.733
hedgehog,6.733
bullet,6.727
camera,6.727
dustbin,6.727
goldfish,6.727
hawk,6.727
helicopter,6.727
hotel,6.727
iron,6.727
leopard,6.727
orangutan,6.727
gastropod,6.727
sun,6.727
necktie,6.727
RV,6.727
wood,6.727
acorn,6.724
puppy,6.724
towel,6.724
pizza,6.72
computer,6.719
cornflour,6.719
eagle,6.719
eyebrows,6.719
fountain,6.719
mice,6.719
spanner,6.719
boat,6.716
bat,6.714
cabinet,6.714
couch,6.714
desk,6.714
duvet,6.714
forehead,6.714
limb,6.714
microwave_oven,6.714
mouth,6.714
necklace,6.714
knitting_needle,6.714
pen,6.714
snake,6.714
cetacean,6.714
cabinet,6.71
chalk,6.71
flute,6.71
garlic,6.71
melon,6.71
aeroplane,6.706
airplane,6.706
cello,6.706
chest,6.706
head,6.706
pancake,6.706
scorpion,6.706
tiger,6.706
toast,6.706
trousers,6.706
cheese,6.704
phone,6.704
snail,6.704
cockroach,6.7
drums,6.7
breasts,6.697
calf,6.697
canoe,6.697
owl,6.697
paperclip,6.697
postman,6.697
raisin,6.697
rat,6.697
squid,6.697
truck,6.697
vodka,6.697
arms,6.694
bats,6.69
elk,6.69
fruitcake,6.688
lift,6.688
refrigerator,6.688
train,6.687
bathroom,6.686
pear,6.686
sandwich,6.686
teaspoon,6.686
wardrobe,6.686
warehouse,6.686
beetle,6.677
cauliflower,6.677
chairman,6.677
chair,6.677
clarinet,6.677
cooker,6.677
fox,6.677
gloves,6.677
guitar,6.677
jellyfish,6.677
cardigan,6.677
insectivore,6.677
olive,6.677
peacock,6.677
pony,6.677
pram,6.677
pumps,6.677
rat,6.677
river,6.677
spider,6.677
stepstool,6.677
TV,6.677
umbrella,6.677
wristwatch,6.677
musteline_mammal,6.667
bassoon,6.667
boot,6.667
chandelier,6.667
deer,6.667
falcon,6.667
fish,6.667
flask,6.667
flesh,6.667
hand,6.667
insect,6.667
ladybird,6.667
walnut,6.667
seat,6.667
shampoo,6.667
seashell,6.667
spinach,6.667
typewriter,6.667
bed,6.657
cement,6.657
fingers,6.657
hammer,6.657
nectarine,6.657
poodle,6.657
drinking_straw,6.657
thighs,6.657
crow,6.656
flower,6.656
gerbil,6.656
library,6.656
moon,6.656
rattlesnake,6.656
roof,6.656
socks,6.656
wrist,6.656
broccoli,6.655
chin,6.655
drum,6.655
plant,6.655
submarine,6.655
hill,6.654
paper,6.652
arm,6.647
bell,6.647
terrier,6.647
bulldozer,6.647
ceiling,6.647
eyeglasses,6.647
ham,6.647
llama,6.647
mushroom,6.647
notebook,6.647
organs,6.647
parrot,6.647
penis,6.647
airplane,6.647
rabbit,6.647
rose,6.647
sofa,6.647
turtle,6.647
web,6.647
wood,6.647
pea,6.645
razor,6.645
tooth,6.643
vole,6.643
violin,6.64
barrel,6.636
chihuahua,6.636
door,6.636
earth,6.636
skeleton,6.636
aileron,6.636
bird,6.633
nailfile,6.633
macaroni,6.633
penny,6.633
ships,6.633
steak,6.633
thistle,6.633
pearl,6.631
neck,6.63
ant,6.629
beer,6.629
bra,6.629
bunny,6.629
calf,6.629
horn,6.629
cornea,6.629
burger,6.625
coat,6.625
comb,6.625
moth,6.625
peas,6.625
pyramid,6.625
tongue,6.625
belt,6.621
candle,6.621
cigar,6.621
hair,6.621
mansion,6.621
motorway,6.621
teeth,6.621
chef,6.618
coat,6.618
fingernail,6.618
pheasant,6.618
policeman,6.618
ship,6.618
swan,6.618
sweets,6.618
sword,6.618
vegetable,6.618
waterfall,6.618
prow,6.613
pill,6.613
shoes,6.613
wallet,6.613
worm,6.613
dress,6.611
baby,6.607
bag,6.607
shelf,6.607
abdomen,6.606
bone,6.606
celery,6.606
curtain,6.606
handkerchief,6.606
lizard,6.606
pebble,6.606
wasp,6.606
ball,6.6
banana,6.6
bench,6.6
casino,6.6
cherry,6.6
corpse,6.6
daisy,6.6
dildo,6.6
fireplace,6.6
fork,6.6
grapes,6.6
chicken,6.6
keys,6.6
mushroom,6.6
raccoon,6.6
tusk,6.6
bulb,6.594
forest,6.594
moose,6.594
mosquito,6.594
parsley,6.594
piano,6.593
scooter,6.593
ingot,6.588
berry,6.588
bull,6.588
donkey,6.588
fireman,6.588
harbour,6.588
jacuzzi,6.588
backspace_key,6.588
ladder,6.588
luggage,6.588
mirror,6.588
pepper,6.588
pepper,6.588
walrus,6.588
tractor,6.588
locomotive,6.588
bath,6.586
boot,6.586
knife,6.586
feet,6.585
raven,6.581
toad,6.581
windmill,6.581
ape,6.576
basketball,6.576
thighs,6.576
countertop,6.576
crab,6.576
eel,6.576
foot,6.576
dog,6.576
hummingbird,6.576
trash,6.576
pan,6.576
pipe,6.576
baboon,6.571
cinema,6.571
cliff,6.571
duck,6.571
encyclopedia,6.571
finger,6.571
gate,6.571
ocean,6.571
pigeon,6.571
rock,6.571
paperclip,6.571
water,6.571
jeep,6.569
desks,6.567
grape,6.567
book,6.563
bookcase,6.563
grass,6.563
logs,6.563
raspberry,6.563
sausage,6.563
scarf,6.563
sweatshirt,6.563
armadillo,6.559
bacon,6.559
ballroom,6.559
bunkbed,6.559
canal,6.559
lioness,6.559
lungs,6.559
microscope,6.559
monkey,6.559
fastener,6.559
nipple,6.559
oak,6.559
prune,6.559
seesaw,6.559
shrimp,6.559
