"lemma","prior_polarity_score"
".22",0.12
"0",-0.34
"1",-0.19
"101",-0.19
"105",-0.19
"125",-0.07
"135",-0.07
"145",-0.07
"155",-0.07
"165",-0.07
"175",-0.07
"2-dimensional",-0.38
"300",-0.19
"3tc",-0.19
"400",-0.19
"a",0.04
"aaa",0.04
"aardvark",0.31
"aback",0.01
"abalone",0.07
"abandon",-0.54
"abandon",-0.54
"abandoned",-0.05
"abandonment",-0.59
"abase",-0.38
"abasement",-0.12
"abash",-0.19
"abashed",-0.28
"abashment",-0.25
"abasia",-0.33
"abasic",-0.17
"abatable",0.28
"abate",-0.06
"abatement",-0.02
"abatic",-0.17
"abaxially",0.15
"abbe",0.12
"abbey",0.21
"abbot",0.21
"abdias",-0.08
"abdicable",0.15
"abdomen",0.10
"abdominal",-0.13
"abduct",-0.64
"abduction",-0.73
"aberrance",0.12
"aberrancy",0.12
"aberrant",0.15
"aberrate",-0.08
"aberration",0.21
"abetalipoproteinemia",-0.42
"abeyant",-0.05
"abhor",-0.19
"abhorrence",-0.28
"abhorrent",-0.42
"abidance",0.25
"abide",0.13
"abiding",0.14
"abient",0.06
"ability",0.50
"abiotrophy",-0.17
"abject",-0.25
"abjection",-0.07
"abjectly",0.17
"abjuration",-0.38
"abjure",-0.38
"ablate",-0.02
"ablated",-0.07
"ablative",0.16
"ablaut",0.21
"ablaze",0.03
"able",0.41
"able-bodied",0.15
"able-bodiedism",0.04
"able-bodism",0.04
"ableism",0.04
"ablepharia",0.21
"ablism",0.04
"abloom",0.12
"ably",0.17
"abnegate",0.12
"abnegation",0.10
"abnormal",-0.36
"abnormalcy",0.15
"abnormality",-0.48
"abnormally",0.12
"abocclusion",0.12
"abode",0.07
"abolish",-0.29
"abolishable",0.28
"abominable",-0.23
"abominably",-0.42
"abominate",-0.19
"abomination",-0.62
"abominator",-0.28
"abort",-0.47
"abortifacient",-0.28
"abortion",-0.60
"abortive",-0.19
"abortively",0.15
"aboulic",-0.42
"abound",-0.02
"abounding",-0.19
"about",0.11
"above",-0.07
"above",0.10
"aboveboard",-0.26
"aboveboard",0.17
"above-mentioned",-0.07
"above-named",-0.07
"abracadabra",0.02
"abrade",-0.02
"abrasion",5.6e-03
"abrasive",-0.18
"abrasive",-0.18
"abrasiveness",-0.04
"abreact",-0.39
"abreaction",0.17
"abreast",-0.09
"abreast",-0.09
"abrupt",-0.43
"abruptly-pinnate",0.15
"abruptness",0.06
"abscess",-0.55
"abscessed",-0.34
"absconder",0.17
"absence",-0.28
"absent",-0.22
"absent",-0.22
"absentee",-0.38
"absenteeism",0.12
"absently",0.21
"absentminded",0.08
"absentmindedly",0.21
"absentmindedness",0.08
"absinthe",-0.36
"absolute",0.10
"absolute",0.10
"absolutely",0.21
"absoluteness",0.15
"absolution",0.39
"absolutism",-0.15
"absolve",-0.10
"absolved",0.28
"absolver",0.15
"absolvitory",0.15
"absorb",0.12
"absorbable",0.21
"absorbate",0.21
"absorbed",0.05
"absorbefacient",0.17
"absorbing",0.21
"absorption",0.04
"abstain",-0.15
"abstemious",0.12
"abstemiously",0.15
"abstemiousness",-0.12
"abstention",0.04
"abstentious",-0.38
"abstinence",-0.39
"abstinent",-0.38
"abstract",0.06
"abstract",0.06
"abstract",0.06
"abstracted",0.08
"abstractedly",0.21
"abstractionism",-0.09
"abstractive",0.17
"abstractness",-0.01
"abstruse",-0.03
"abstrusely",-0.19
"abstruseness",0.09
"abstrusity",0.17
"absurd",-0.13
"absurd",-0.13
"absurdity",-0.23
"abulic",-0.42
"abundance",0.41
"abundant",0.63
"abuse",-0.86
"abuse",-0.86
"abused",-0.17
"abuser",-0.19
"abusive",-0.73
"abusively",-0.03
"aby",-0.07
"abye",-0.07
"abysmal",-0.38
"abysmally",-0.42
"abyss",-0.27
"academic",0.40
"academically",0.12
"academician",0.08
"academicism",-0.07
"academism",-0.07
"academy",0.08
"acanthocephalan",-0.19
"acanthocyte",-0.07
"acanthocytosis",-0.07
"acanthoid",0.12
"acanthopterygii",0.12
"acanthous",0.12
"acardia",-0.34
"acarophobia",-0.07
"acarpous",-0.28
"acaryote",-0.28
"acatalectic",-0.34
"acatalectic",0.12
"acataphasia",-0.34
"acathexia",-0.28
"acathexis",-0.28
"acaudal",-0.19
"acaudate",-0.19
"acaulescent",0.15
"accede",-3.32e-03
"accelerate",0.27
"accelerated",0.30
"acceleration",0.29
"accelerative",-0.06
"accelerator",0.15
"acceleratory",-0.06
"accent",0.37
"accenting",0.12
"accentuation",0.10
"accept",0.34
"acceptability",0.06
"acceptable",0.39
"acceptableness",0.06
"acceptably",0.21
"acceptance",0.46
"acceptant",0.15
"acceptation",0.17
"accepted",0.21
"accepting",0.08
"acceptive",0.06
"access",0.42
"access",0.42
"accessary",0.17
"accessibility",0.17
"accessible",0.42
"accession",0.01
"accessional",0.12
"accessorial",0.17
"accessory",0.08
"accessory",0.08
"accident",-0.61
"accidental",-0.38
"accidental",-0.38
"accidentally",0.12
"accident-prone",-0.07
"acclaim",0.27
"acclaim",0.27
"acclamation",0.28
"acclimate",-0.28
"acclimatise",-0.28
"acclimatize",-0.28
"accolade",0.21
"accommodate",0.33
