word,pos,mode,category
certainly,ADV,evaluation,certainty
for_certain,ADV,evaluation,certainty
clearly,ADV,evaluation,certainty
obviously,ADV,evaluation,certainty
plainly,ADV,evaluation,certainty
inevitably,ADV,evaluation,certainty
unquestionably,ADV,evaluation,certainty
undoubtedly,ADV,evaluation,certainty
surely,ADV,evaluation,certainty
for_sure,ADV,evaluation,certainty
positively,ADV,evaluation,certainty
definitely,ADV,evaluation,certainty
doubtless,ADV,evaluation,certainty
conclusively,ADV,evaluation,certainty
incontestably,ADV,evaluation,certainty
indisputably,ADV,evaluation,certainty
incontrovertibly,ADV,evaluation,certainty
of_course,ADV,evaluation,certainty
no_doubt,ADV,evaluation,certainty
beyond_doubt,ADV,evaluation,certainty
without_a_doubt,ADV,evaluation,certainty
without_doubt,ADV,evaluation,certainty
for_certain,ADV,evaluation,certainty
for_sure,ADV,evaluation,certainty
to_be_sure,ADV,evaluation,certainty
actually,ADV,evaluation,probability
really,ADV,evaluation,probability
predictably,ADV,evaluation,probability
naturally,ADV,evaluation,probability
unsurprising,ADJ,evaluation,probability
unsurprisingly,ADV,evaluation,probability
plainly,ADV,evaluation,probability
indeed,ADV,evaluation,probability
after_all,ADV,evaluation,probability
as_such,ADV,evaluation,probability
in_fact,ADV,evaluation,probability
needless_to_say,ADV,evaluation,probability
of_course,ADV,evaluation,probability
as_we_know,ADV,evaluation,probability
in_actuality,ADV,evaluation,probability
in_all_actuality,ADV,evaluation,probability
curiously,ADV,evaluation,surprise
interestingly,ADV,evaluation,surprise
ironically,ADV,evaluation,surprise
oddly,ADV,evaluation,surprise
paradoxically,ADV,evaluation,surprise
surprising,ADJ,evaluation,surprise
surprisingly,ADV,evaluation,surprise
unprecedented,ADJ,evaluation,surprise
unprecedentedly,ADJ,evaluation,surprise
strangely,ADV,evaluation,surprise
amazingly,ADV,evaluation,surprise
astonishingly,ADV,evaluation,surprise
unbelievably,ADV,evaluation,surprise
dramatically,ADV,evaluation,surprise
dramatic,ADJ,evaluation,surprise
hopefully,ADV,evaluation,hope
